24
1;Alexander;Vankov;alex_vankov;12345;23;0;;1,2;Admin
3;Nane;Valkovska;nadejdi4ka;12345;24;0;1;;Citizen
4;Ivan;Ivanov;vankata;pass123;34;2500;2,3;5;Citizen
5;Maria;Georgieva;mimi88;qwerty;29;1800;;8;Citizen
6;Georgi;Dimitrov;goshko;123456;45;3200;4,5;10,11;Citizen
7;Elena;Petrova;eli_p;password;31;2100;6;;Citizen
8;Dimitar;Todorov;mitko_boss;adminpass;50;5500;7;15,16;Admin
9;Stoyan;Kolev;stoyank;1111;22;1200;;13;Citizen
10;Katerina;Ilieva;katy;kati123;27;2900;8,9;20;Citizen
11;Vasil;Nikolov;vasil_n;vasko;38;3400;10;21;Citizen
12;Ana;Borisova;ani_b;ani11;41;4100;11,12;24,25;Citizen
13;Stefan;Mihaylov;steff;stefcho;25;1500;;7;Citizen
14;Petya;Zaharieva;pepi_z;pepi;33;2700;13;;Citizen
15;Nikolay;Hristov;niki_h;niko;28;2200;;4;Citizen
16;Desislava;Yordanova;desi;desi_pass;47;3800;14,15;9,12;Citizen
17;Krasimir;Andreev;krasi;krasi1;55;4200;16,17;17;Citizen
18;Silviya;Stoyanova;silvia_s;silv99;30;2600;18;23;Citizen
19;Tsvetomir;Angelov;tsetso;tsetso1;26;1900;;14;Citizen
20;Margarita;Pencheva;margo;margo123;60;1800;19;;Citizen
21;Plamen;Gospodinov;plamen_g;plamko;35;3100;20;6;Citizen
22;Ivelina;Ruseva;iva;iva_r;32;2400;21;22;Citizen
23;Hristo;Botev;hr_botev;svoboda;40;5000;;18;Citizen
